wmin,wmax,bmin,bmax
780, 2043 , 700, 1709
908, 2043,  1710, 1836
1012, 2043, 1837, 1930
700, 2043, 1931, 2005
1079, 2043, 2006, 2065
100 , 2043,  2066, 2120
215 , 2043,  2121, 2173
100 , 2043,  2174, 2237
100 , 2043,  2238, 2329
1114, 2043, 2330, 2851
2044, 2160, 215, 1922
2044, 2160, 1923, 2026
2044, 2160, 2027, 2097
2044, 2160, 2098, 2156
2044, 2160, 2157, 2205
2044, 2160, 2206, 2249
2044, 2160, 2250, 2292
2044, 2160, 2293, 2347
2044, 2160, 2348, 2421
2044, 2160, 2422, 2851
2161, 2235, 215, 2013
2161, 2235, 2014, 2096
2161, 2235, 2097, 2162
2161, 2235, 2163, 2216
2161, 2235, 2217, 2260
2161, 2235, 2261, 2301
2161, 2235, 2302, 2346
2161, 2235, 2347, 2394
2161, 2235, 2395, 2458
2161, 2235, 2459, 2820
2236, 2293, 1114, 2070
2236, 2293, 2071, 2151
2236, 2293, 2152, 2212
2236, 2293, 2213, 2256
2236, 2293, 2257, 2296
2236, 2293, 2297, 2338
2236, 2293, 2339, 2378
2236, 2293, 2379, 2425
2236, 2293, 2426, 2482
2236, 2293, 2483, 2820
2294, 2347, 1118, 2114
2294, 2347, 2115, 2193
2294, 2347, 2194, 2246
2294, 2347, 2247, 2288
2294, 2347, 2289, 2330
2294, 2347, 2331, 2369
2294, 2347, 2370, 2410
2294, 2347, 2411, 2453
2294, 2347, 2454, 2506
2294, 2347, 2507, 2820
2348, 2397, 1078, 2153
2348, 2397, 2154, 2229
2348, 2397, 2230, 2279
2348, 2397, 2280, 2323
2348, 2397, 2324, 2364
2348, 2397, 2365, 2402
2348, 2397, 2403, 2442
2348, 2397, 2443, 2481
2348, 2397, 2482, 2529
2348, 2397, 2530, 2820
2398, 2448, 1146, 2189
2398, 2448, 2190, 2262
2398, 2448, 2263, 2314
2398, 2448, 2315, 2359
2398, 2448, 2360, 2396
2398, 2448, 2397, 2433
2398, 2448, 2434, 2468
2398, 2448, 2469, 2504
2398, 2448, 2505, 2548
2398, 2448, 2549, 2820
2449, 2498, 1351, 2221
2449, 2498, 2222, 2295
2449, 2498, 2296, 2348
2449, 2498, 2349, 2389
2449, 2498, 2390, 2426
2449, 2498, 2427, 2459
2449, 2498, 2460, 2491
2449, 2498, 2492, 2525
2449, 2498, 2526, 2566
2449, 2498, 2567, 2820
2499, 2558, 1259, 2259
2499, 2558, 2260, 2339
2499, 2558, 2340, 2388
2499, 2558, 2389, 2428
2499, 2558, 2429, 2462
2499, 2558, 2463, 2492
2499, 2558, 2493, 2523
2499, 2558, 2524, 2555
2499, 2558, 2556, 2595
2499, 2558, 2596, 2820
2559, 2875, 1400, 2333
2559, 2820, 2334, 2416
2559, 2820, 2417, 2466
2559, 2820, 2467, 2505
2559, 2820, 2506, 2537
2559, 2820, 2538, 2566
2559, 2820, 2567, 2595
2559, 2820, 2596, 2634
2559, 2820, 2635, 2677
2559, 2870, 2678, 2861
